Product Name,Category,Wholesale,Retail,Multiplier,VSP Code,VSP Coverage,EyeMed Coverage,Spectera Coverage
Gradient Tint - CR39/Poly CLR Lens,TINT,$15.00,$30.00,2.0,IP,Doctor supplied,20% off retail,20% off retail
Solid (Lens),TINT,$8.90,$26.70,3.0,MN,Copay per chart,20% off retail,20% off retail
Remove Tint,TINT,$12.20,$24.40,2.0,--,Private pay,Private pay,Private pay
Solid Tint - CR39/Poly CLR Lens,TINT,$8.90,$17.80,2.0,IN,Doctor supplied,20% off retail,20% off retail
Gradient Tint - CR39/Poly Polar Lens,TINT,$7.80,$15.60,2.0,IP,Doctor supplied,20% off retail,20% off retail
Double Facet Scalloped & Slotted,EDGING,$67.30,$201.90,3.0,SR,80% U&C (specialty),Private pay,Private pay
Facet,EDGING,$50.80,$152.40,3.0,SR,Copay per chart,Private pay,Private pay
Rimless Drilled - Special,EDGING,$42.50,$85.00,2.0,SW,Copay $30,Included w/ frame,Included w/ frame
Press-On Prism (Optics) Supply & Mount,EDGING,$37.00,$74.00,2.0,--,Private pay,Private pay,Private pay
Rimless Drill and/or Notch,EDGING,$26.00,$52.00,2.0,SW,Copay $30,Included w/ frame,Included w/ frame
Rimless Drilled (up to 8 holes),EDGING,$26.00,$52.00,2.0,SW,Copay $30,Included w/ frame,Included w/ frame
Rimless Drilled (up to 4 holes),EDGING,$16.67,$50.00,3.0,SW,Copay $30,Included w/ frame,Included w/ frame
Re-String Nylon Frame,EDGING,$13.80,$41.40,3.0,--,Private pay,Private pay,Private pay
Cut Edge Mount Customer Lens,EDGING,$18.20,$36.40,2.0,--,Private pay,Private pay,Private pay
Grooved Rimless,EDGING,$11.67,$35.00,3.0,--,No charge,Included w/ frame,Included w/ frame
Groove & Paint (Color Groove),EDGING,$16.00,$32.00,2.0,SQ,Copay per chart,20% off retail,20% off retail
Wrap Lens,EDGING,$16.00,$32.00,2.0,--,Included in base,Included in base,Included in base
Full Metal Groove,EDGING,$16.00,$32.00,2.0,--,No charge,Included w/ frame,Included w/ frame
Sport Edge / Wrap Frame,EDGING,$15.50,$31.00,2.0,--,Included in base,Included in base,Included in base
Modify to Shape / Custom Shape / Hand Edge,EDGING,$15.50,$31.00,2.0,--,80% U&C,Private pay,Private pay
Swim Goggle Edge & Mount,EDGING,$15.00,$30.00,2.0,--,Per lens codes,Private pay,Private pay
Engrave Initials Name or Standard Design,EDGING,$12.70,$25.40,2.0,--,Private pay,Private pay,Private pay
Roll & Polish,EDGING,$8.33,$25.00,3.0,SP,Copay per chart,Included,Included
Edge Coating: ColorSmart,EDGING,$11.10,$22.20,2.0,SQ,Copay per chart,20% off retail,20% off retail
Insert / Mount Lenses,EDGING,$6.70,$20.10,3.0,--,Private pay,Private pay,Private pay
Roll Edges (Service),EDGING,$7.20,$14.40,2.0,--,No charge,No charge,No charge
Double Solder & Materials,REPAIR,$35.80,$71.60,2.0,--,Private pay,Private pay,Private pay
Re-Shape Metal Frame,REPAIR,$18.80,$56.40,3.0,--,Private pay,Private pay,Private pay
Double Solder & Materials - Re-Insert Lenses,REPAIR,$27.00,$54.00,2.0,--,Private pay,Private pay,Private pay
Single Solder & Materials,REPAIR,$20.40,$40.80,2.0,--,Private pay,Private pay,Private pay
Shorten / Cut Temples,REPAIR,$15.00,$30.00,2.0,--,Private pay,Private pay,Private pay
Replace 1 Temple,REPAIR,$15.00,$30.00,2.0,--,Private pay,Private pay,Private pay
Nose Pads: Attach Adjustable Silicon Nose Bridge,REPAIR,$14.40,$28.80,2.0,--,No charge,Private pay,Private pay
Hinge Repair for Zyl Frame (Hidden Hinge),REPAIR,$12.70,$25.40,2.0,--,Private pay,Private pay,Private pay
Hinge Repair for Zyl Frame (Rivet/Shield),REPAIR,$12.70,$25.40,2.0,--,Private pay,Private pay,Private pay
Nose Pads: Replacement (Fitted Soft or Silicone),REPAIR,$11.60,$23.20,2.0,--,No charge,Private pay,Private pay
Cable Temple Conversion - Metal Frame,REPAIR,$10.00,$20.00,2.0,--,Private pay,Private pay,Private pay
Cable Temple Conversion - Zyl Frame,REPAIR,$10.00,$20.00,2.0,--,Private pay,Private pay,Private pay
Make or Modify Pattern from Customer Drawing,REPAIR,$10.00,$20.00,2.0,--,Private pay,Private pay,Private pay
Drill Out Screws,REPAIR,$9.40,$18.80,2.0,--,Private pay,Private pay,Private pay
Nose Pads: Adjustable Pads/Arms for Zyl Frame,REPAIR,$8.30,$16.60,2.0,--,Private pay,Private pay,Private pay
Temple Covers (Supply & Mount),REPAIR,$6.70,$13.40,2.0,--,Private pay,Private pay,Private pay
Regular Freight (FOB Shipping Point),SHIPPING,$1.94,$3.88,2.0,--,Private pay,Private pay,Private pay
